continent,country
Africa,Holy See
N. America,American Samoa
N. America,Caribbean Netherlands
Europe,Gibraltar
Asia,Viet Nam
S. America,Aruba
S. America,Curaçao
Europe,Russia
S. America,Martinique
Europe,TFYR Macedonia
S. America,Bermuda
Asia,Taiwan
N. America,Saint Pierre and Miquelon
Oceania,Niue
N. America,U.S.
Europe,Faeroe Islands
Oceania,Réunion
Oceania,Cook Islands
Europe,U.K.
Oceania,French Polynesia
N. America,Cayman Islands
Africa,Mayotte
Africa,Cabo Verde
Asia,Timor-Leste
S. America,St. Vincent & Grenadines
N. America,Turks and Caicos Islands
Africa,Saint Helena
Asia,Myanmar
Oceania,Guam
Africa,Burkina Faso
Africa,DR Congo
Asia,North Korea
S. America,Sint Maarten
Asia,Macao
N. America,United States Virgin Islands
N. America,Puerto Rico
Oceania,New Caledonia
Africa,Hong Kong
S. America,Falkland Islands
Asia,State of Palestine
N. America,Guadeloupe
S. America,French Guiana
N. America,Montserrat
Oceania,Tokelau
Oceania,Northern Mariana Islands
N. America,British Virgin Islands
Africa,South Korea
Europe,Channel Islands
Europe,Isle of Man
Africa,Western Sahara
Oceania,Wallis and Futuna
N. America,Greenland
N. America,Anguilla
Africa,Côte d'Ivoire
