Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,24-01-2017,,,,,,,,
Gegevens beschikbaar:,11-03-1955,tot:,13-10-2016,,,,,,,,
Datum: ,24-01-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B50E0133,001,50EP0133,129287,395441,1360,11-03-1955,11-03-1955,10-09-1969,1401,41,-240,-340
B50E0133,001,50EP0133,129287,395441,1360,10-09-1969,10-09-1969,15-02-2011,1401,41,-240,-340
B50E0133,001,50EP0133,129287,395441,1357,15-02-2011,15-02-2011,13-10-2016,1448,91,-240,-340


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,,
B50E0133,001,11-03-1955,675,634,726,,,,,,
B50E0133,001,23-03-1955,668,627,733,,,,,,
B50E0133,001,08-04-1955,669,628,732,,,,,,
B50E0133,001,22-04-1955,660,619,741,,,,,,
B50E0133,001,06-05-1955,651,610,750,,,,,,
B50E0133,001,20-05-1955,650,609,751,,,,,,
B50E0133,001,03-06-1955,657,616,744,,,,,,
B50E0133,001,17-06-1955,660,619,741,,,,,,
B50E0133,001,01-07-1955,739,698,662,,,,,,
B50E0133,001,15-07-1955,767,726,634,,,,,,
B50E0133,001,29-07-1955,789,748,612,,,,,,
B50E0133,001,12-08-1955,710,669,691,,,,,,
B50E0133,001,26-08-1955,794,753,607,,,,,,
B50E0133,001,06-09-1955,792,751,609,,,,,,
B50E0133,001,04-10-1955,767,726,634,,,,,,
B50E0133,001,12-11-1955,790,749,611,,,,,,
B50E0133,001,11-12-1955,748,707,653,,,,,,
B50E0133,001,15-01-1956,695,654,706,,,,,,
B50E0133,001,18-03-1956,627,586,774,,,,,,
B50E0133,001,15-04-1956,713,672,688,,,,,,
B50E0133,001,13-05-1956,678,637,723,,,,,,
B50E0133,001,17-06-1956,678,637,723,,,,,,
B50E0133,001,15-07-1956,690,649,711,,,,,,
B50E0133,001,19-08-1956,680,639,721,,,,,,
B50E0133,001,16-09-1956,681,640,720,,,,,,
B50E0133,001,14-10-1956,685,644,716,,,,,,
B50E0133,001,18-11-1956,737,696,664,,,,,,
B50E0133,001,18-12-1956,725,684,676,,,,,,
B50E0133,001,15-01-1957,693,652,708,,,,,,
